TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,4,0,System,0xe78f13ce7040,139,-,N/A,False,2023-03-30 16:21:43.000000 UTC,N/A,Disabled
0,96,4,Registry,0xe78f13d17080,4,-,N/A,False,2023-03-30 16:21:42.000000 UTC,N/A,Disabled
0,408,4,smss.exe,0xe78f1487a040,2,-,N/A,False,2023-03-30 16:21:43.000000 UTC,N/A,Disabled
0,588,560,csrss.exe,0xe78f14fe5080,10,-,0,False,2023-03-30 16:21:44.000000 UTC,N/A,Disabled
0,660,560,wininit.exe,0xe78f14fe4140,2,-,0,False,2023-03-30 16:21:44.000000 UTC,N/A,Disabled
0,804,660,services.exe,0xe78f171a4080,7,-,0,False,2023-03-30 16:21:44.000000 UTC,N/A,Disabled
0,828,660,lsass.exe,0xe78f171c6080,9,-,0,False,2023-03-30 16:21:44.000000 UTC,N/A,Disabled
0,944,804,svchost.exe,0xe78f17364080,21,-,0,False,2023-03-30 16:21:44.000000 UTC,N/A,Disabled
0,972,660,fontdrvhost.ex,0xe78f1738a140,5,-,0,False,2023-03-30 16:21:44.000000 UTC,N/A,Disabled
0,436,804,svchost.exe,0xe78f174130c0,10,-,0,False,2023-03-30 16:21:44.000000 UTC,N/A,Disabled
0,672,804,svchost.exe,0xe78f17422080,4,-,0,False,2023-03-30 16:21:44.000000 UTC,N/A,Disabled
0,800,804,sppsvc.exe,0xe78f17469080,0,-,0,False,2023-03-30 16:21:44.000000 UTC,2023-03-30 16:25:01.000000 UTC,Disabled
0,1068,804,svchost.exe,0xe78f174aa080,1,-,0,False,2023-03-30 16:21:45.000000 UTC,N/A,Disabled
0,1136,804,svchost.exe,0xe78f174d80c0,2,-,0,False,2023-03-30 16:21:45.000000 UTC,N/A,Disabled
0,1216,804,svchost.exe,0xe78f1750a080,1,-,0,False,2023-03-30 16:21:45.000000 UTC,N/A,Disabled
0,1404,804,svchost.exe,0xe78f13d74080,2,-,0,False,2023-03-30 16:21:49.000000 UTC,N/A,Disabled
0,1460,804,svchost.exe,0xe78f13d3f080,8,-,0,False,2023-03-30 16:21:49.000000 UTC,N/A,Disabled
0,1524,804,svchost.exe,0xe78f13d1e080,4,-,0,False,2023-03-30 16:21:49.000000 UTC,N/A,Disabled
0,1612,804,svchost.exe,0xe78f13df4080,0,-,0,False,2023-03-30 16:21:50.000000 UTC,2023-03-30 16:41:37.000000 UTC,Disabled
0,1636,804,svchost.exe,0xe78f13de7080,4,-,0,False,2023-03-30 16:21:50.000000 UTC,N/A,Disabled
